Module,Stage,Status,business_id,name,address,city,state,postal_code,PhoneDayNumber,PhoneDayExt,Status
FoodFacility,Active,Permitted,38322,Ben & Jerry's,405 S BROADWAY,St Louis,MO,63102,306-9400,,Permitted
FoodFacility,Active,Permitted,38322,Ben & Jerry's,405 S Broadway,St Louis,MO,63102,306-9400,,Permitted
FoodFacility,Active,Permitted,37983,Ben & Jerry's Mobile Trailer,405 S Broadway,St Louis,MO,63122,306-9400,,Permitted
FoodFacility,Active,Permitted,20170,Benedict Joseph Labre Ctr,3863 CLEVELAND,St Louis,MO,63110,664-3927,,Permitted
FoodFacility,Active,Permitted,1400089,Benton Park Cafe & Coffee Bar,1900 Arsenal,St Louis,MO,63118,771-7200,,Permitted
FoodFacility,Active,Exempt,#N/A,Berix Coffee House,4307 Duke,St Louis,MO,63116,,,#N/A
FoodFacility,Active,Permitted,19388,Bernard Care Center,4335 West Pine,St Louis,MO,63108,371-0200,,Permitted
FoodFacility,Active,Permitted,MLEN-9CTSP9,Bernie's Place,1930-32 N 9th,St Louis,MO,63102,421-9922,,Permitted
FoodFacility,Active,Permitted,1201155,Better Bakery Cafe,4127 SHREVE,St Louis,MO,63115,389-2501,,Permitted
FoodFacility,Active,Permitted,PMAY-93QKTF,Better Learning Communities Academy,2153 Salisbury C,St Louis,MO,63106,436-2603,,Permitted
